ifInOctets11,ifOutOctets11,ifoutDiscards11,ifInUcastPkts11,ifInNUcastPkts11,ifInDiscards11,ifOutUcastPkts11,ifOutNUcastPkts11,tcpOutRsts,tcpInSegs,tcpOutSegs,tcpPassiveOpens,tcpRetransSegs,tcpCurrEstab,tcpEstabResets,tcp?ActiveOpens,udpInDatagrams,udpOutDatagrams,udpInErrors,udpNoPorts,ipInReceives,ipInDelivers,ipOutRequests,ipOutDiscards,ipInDiscards,ipForwDatagrams,ipOutNoRoutes,ipInAddrErrors,icmpInMsgs,icmpInDestUnreachs,icmpOutMsgs,icmpOutDestUnreachs,icmpInEchos,icmpOutEchoReps,class
3401979750,965703001,0,57615137,14859,0,8170119,3382,1,642,539,57,16,0,6,3,211941,193206,1,25,64954378,247149,192168,635,20,59812137,8,0,49,25,47,21,27,27,normal
3767005484,898280418,0,57706828,19663,0,8365287,4084,1,618,510,53,15,0,5,3,249992,211612,1,21,59640722,246637,214153,531,20,66796827,6,0,44,23,46,22,21,25,normal
3205023796,794336699,0,51814910,14806,0,8519070,4387,1,651,612,49,16,0,5,3,242192,215632,1,21,69037321,262517,166992,572,21,68836632,6,0,46,28,47,25,25,24,normal
3450710908,890500132,0,48485431,18280,0,8620486,3762,1,768,622,50,16,0,4,3,255913,164069,1,22,65251591,223194,179585,539,21,60711375,7,0,47,26,54,25,22,26,normal
3825453661,838990211,0,60719853,15025,0,6723350,4374,1,710,580,52,13,0,5,3,260492,176030,1,24,64589031,268863,210906,507,25,65947217,6,0,56,30,52,25,21,27,normal
3389540371,1018137515,0,54342913,19779,0,8021175,4565,1,730,540,55,14,0,5,3,213576,165310,1,25,70116906,236837,200330,560,20,58586395,6,0,46,29,51,20,23,27,normal
3782941717,976819607,0,56368561,17891,0,8480889,4541,1,661,549,48,14,0,5,3,252843,172956,1,19,69651149,237469,221582,645,24,56752411,8,0,49,26,48,21,25,25,normal
3589454691,830317684,0,58136007,16774,0,6776448,4398,1,638,553,58,14,0,4,3,215353,166176,1,21,61280585,225257,208498,590,21,64526671,8,0,52,31,50,21,25,23,normal
3702330055,1016167285,0,47168328,18630,0,8457438,4485,1,679,536,55,13,0,5,3,279910,172866,1,23,58012962,274049,169117,557,21,68453043,8,0,57,26,49,20,23,26,normal
4438128498,933802329,0,48778083,18647,0,6776783,3695,1,613,545,51,13,0,5,3,252682,172474,1,20,60497446,235322,221735,569,22,53981986,7,0,56,30,45,21,25,24,normal
4643373120,1065118634,0,60334273,15131,0,6744552,4234,1,756,551,47,14,0,5,3,282387,165525,1,21,55746128,253283,179237,543,23,63961649,8,0,46,26,53,20,25,21,normal
4237526588,829849515,0,55260639,15585,0,7941626,4217,1,805,525,45,13,0,5,3,217310,210514,1,23,55736445,234318,197241,533,24,56833648,8,0,50,26,46,22,23,23,normal
4217414586,1038588359,0,60235559,18838,0,7808923,4102,1,803,531,44,13,0,5,3,224022,182464,1,20,53952801,230330,219279,575,20,63555894,7,0,45,23,45,24,20,25,normal
44726926,797980590,0,54684103,18601,0,7648141,4175,1,807,638,49,14,0,5,3,286021,222075,1,23,58581409,231580,219241,646,25,55940119,6,0,49,23,40,20,21,27,normal
129879780,1014974473,0,53860988,16458,0,8864792,4625,1,672,538,52,15,0,4,3,237072,187394,1,22,63207259,250784,170034,576,24,57967010,6,0,46,27,40,20,22,23,normal
222235162,893950873,0,54023889,15646,0,7311144,4300,1,614,494,54,16,0,6,3,214664,182428,1,24,57855389,258433,183198,549,20,65834931,7,0,56,30,41,22,24,25,normal
286795286,895636427,0,50666469,19452,0,6981715,3757,1,768,515,54,13,0,5,3,279849,214561,1,25,65114987,261234,200075,604,24,57024692,6,0,58,30,46,22,27,24,normal
347649935,997334691,0,50511718,18441,0,8113311,4305,1,758,564,47,14,0,5,3,244394,205930,1,24,66646435,285211,205947,591,26,61814185,8,0,55,26,53,23,24,24,normal
544119261,845163809,0,55738646,16318,0,7798042,4316,1,731,585,48,15,0,6,3,252983,203482,1,20,57949358,231524,183604,621,22,61974329,7,0,43,27,53,25,23,26,normal
490116030,1034706448,0,57790912,20098,0,7508688,4323,1,721,593,58,14,0,5,3,247154,167670,1,25,66295705,272325,219062,579,25,63871416,6,0,56,23,47,20,21,23,normal
661480238,905801851,0,50318014,16787,0,7537000,3722,1,778,518,45,12,0,5,3,242357,217148,1,20,56337586,231020,193641,647,23,70162948,8,0,50,27,44,24,26,25,normal
783813652,1052555402,0,61383967,18111,0,8777373,3645,1,815,571,47,15,0,5,3,265688,218178,1,19,65684647,261242,187012,614,21,62166742,7,0,49,24,42,20,25,23,normal
799658816,1046641554,0,47434574,17005,0,8668916,3526,1,732,524,51,14,0,6,3,216678,217553,1,24,68457025,251110,201058,555,22,68063810,7,0,47,27,47,26,21,27,normal
804400957,929949482,0,52172696,18686,0,8740963,4565,1,695,638,58,13,0,5,3,276318,194261,1,22,71297389,277358,185213,615,20,68655988,8,0,49,25,50,23,22,23,normal
1033491568,1045694217,0,48943406,17536,0,7622922,4322,1,768,589,48,13,0,5,3,280979,197901,1,20,58437441,269527,221027,563,21,53268394,7,0,47,27,52,22,26,25,normal
1122774287,1059439213,0,62013383,17298,0,7077186,3698,1,764,552,53,14,0,5,3,287034,220160,1,22,56478335,241751,227217,620,24,66738309,6,0,56,31,43,22,21,27,normal
1062765061,1094418366,0,58313018,16834,0,8949570,4546,1,767,590,58,16,0,5,3,234253,206363,1,23,55273627,240243,190987,502,24,66768885,7,0,44,24,52,25,22,26,normal
1189751886,901173683,0,61310761,17241,0,7466801,3532,1,625,475,53,15,0,5,3,277404,206439,1,22,59390382,234021,226174,521,23,54993388,7,0,51,27,53,20,23,25,normal
1561155936,1081689027,0,57064677,20831,0,8674133,4719,1,646,623,56,13,0,5,3,220987,180183,1,25,65119756,225268,183162,647,24,69053369,7,0,58,29,47,20,24,21,normal
1259379265,1006522380,0,47439303,18470,0,7419460,4707,1,619,563,44,13,0,4,3,250102,209218,1,22,61290655,273151,204680,492,23,69079734,7,0,52,31,41,23,23,28,normal
1430677858,1019486649,0,54962515,15606,0,8029136,3558,1,820,512,52,15,2,5,3,262904,171141,1,23,64042220,285742,209035,485,21,62824315,7,0,52,30,44,23,24,22,normal
1477823184,913798696,0,59737077,16719,0,8796619,4643,1,704,661,59,12,0,5,3,221128,171119,1,19,58728917,292276,183462,498,24,54548445,7,0,46,31,46,23,28,27,normal
1614059988,848869253,0,59554395,20651,0,9419471,4648,1,705,649,60,16,0,5,3,280096,189919,1,20,63939378,288442,186652,520,20,70422052,7,0,46,28,42,22,25,27,normal
2045778583,943078050,0,53088207,17231,0,7241284,4669,1,666,589,46,14,0,5,3,239418,196459,1,22,72794504,226354,197632,554,22,54786880,7,0,50,27,43,22,27,25,normal
2046123511,1008643438,0,47162876,19982,0,7749181,4182,1,790,608,51,16,0,5,3,275480,201003,1,24,68438890,278132,189179,514,26,54153036,7,0,56,32,48,20,26,23,normal
2096818184,902045355,0,62260288,15701,0,8447702,4187,1,779,619,60,15,0,5,3,247614,205667,1,19,65824353,238625,203381,580,25,63666365,7,0,58,25,50,22,25,21,normal
1966127323,1055105769,0,52819016,16993,0,8888924,4564,1,781,603,50,15,0,6,3,273851,221691,1,25,65394030,284652,181149,495,23,58861810,6,0,54,30,41,21,23,28,normal
2115119547,1079908538,0,55687981,21052,0,7431101,3824,1,670,563,49,12,0,4,3,219561,208372,1,22,59306190,241446,215855,590,21,70475567,6,0,46,27,46,24,25,24,normal
2410246830,991943758,0,48298620,19996,0,8264848,4413,1,750,658,56,14,0,5,3,271693,206314,1,25,69540062,296516,196529,587,26,56770592,6,0,57,31,42,22,22,29,normal
2156448604,974125020,0,58049339,20569,0,8216872,4259,1,844,613,57,15,0,5,3,266119,197202,1,24,61745065,234108,176814,645,23,59555145,8,0,53,32,52,22,28,24,normal
2411817667,883488828,0,48984774,19927,0,7959062,4487,1,771,529,55,14,0,5,3,268589,190518,1,23,68811394,246234,207190,591,22,66425609,6,0,61,28,49,22,29,23,normal
2806439995,846256324,0,50173003,16367,0,8971220,4602,1,839,493,59,13,0,5,3,260641,230604,1,21,68532868,289174,186573,647,25,72124516,6,0,50,24,52,25,28,24,normal
2526904569,842885129,0,60208507,16859,0,8039833,3643,1,661,617,52,13,0,5,3,265997,200849,1,19,60731057,238654,178365,611,22,60624885,7,0,49,31,46,24,22,26,normal
3036392146,895975745,0,61657897,15960,0,9087164,3866,1,719,648,51,14,0,4,3,246481,180596,1,22,72159790,241933,230483,585,21,61221527,8,0,60,26,51,21,25,25,normal
2949196136,914343405,0,53941308,17715,0,9079837,4663,1,800,655,61,12,0,5,3,221809,224459,1,24,64894278,291447,204413,543,23,65935647,8,0,55,25,55,24,23,24,normal
2813891983,984633640,0,58624380,18824,0,7407680,4176,1,759,560,60,12,0,4,3,230216,196018,1,19,66508732,227486,184935,607,21,71835880,6,0,51,32,53,24,22,26,normal
2620256967,1099138151,0,51560100,15675,0,8771998,3876,1,668,533,52,16,0,4,3,220798,219729,1,20,61939708,233933,194868,596,25,57224283,7,0,56,26,48,20,28,22,normal
3538525835,852706471,0,64385844,16996,0,8363667,4489,1,809,610,55,15,0,5,3,248790,187152,1,24,56673433,268194,212320,580,22,57256412,8,0,59,30,54,21,28,22,normal
3510963802,1103513489,0,62737196,18414,0,8646270,4261,1,769,587,52,15,0,5,3,290292,187996,1,20,55475388,294396,178011,535,21,58442092,8,0,48,29,45,25,25,23,normal
2939688784,901662487,0,58668098,18593,0,8845664,3773,1,720,598,58,14,0,4,3,237789,197497,1,24,57483463,243833,181731,552,25,65630748,7,0,51,27,48,21,25,25,normal
3499990230,959515407,0,48824539,15918,0,9525675,4590,1,699,595,47,13,0,5,3,222346,226721,1,20,58352260,234034,212957,582,26,56622582,7,0,52,32,42,26,23,27,normal
3126714731,917695609,0,62440196,15850,0,9404984,4841,1,691,633,59,13,0,5,3,227751,215596,1,21,70817358,259734,215206,642,20,72783272,8,0,59,26,43,24,28,29,normal
3636083419,839251282,0,52026549,16581,0,8008405,4567,1,637,531,51,14,0,5,3,279208,194031,1,22,69481156,233342,183463,569,23,63532463,8,0,59,24,46,25,28,24,normal
3753195680,1105440142,0,55321836,17331,0,8915218,3966,1,644,570,50,14,0,5,3,261789,198436,1,20,63936296,248734,228881,636,22,66467614,6,0,46,28,47,21,28,29,normal
3512451989,854462390,0,53367225,17154,0,8792825,4416,1,832,663,48,12,0,5,3,248767,197249,1,25,70813492,271200,198245,644,26,56775302,7,0,58,27,45,21,28,26,normal
4028776119,1110781863,0,53577699,20318,0,8821683,4310,1,718,591,55,16,0,5,3,257777,180717,1,22,56357184,243984,226225,487,25,71656301,6,0,56,30,54,26,24,28,normal
3411164177,920163258,0,53170400,20611,0,9069566,3717,1,686,524,55,15,0,5,3,292626,187801,1,22,60963966,294676,184502,614,24,70023204,7,0,57,26,52,26,23,28,normal
4559942692,1034847071,0,60193840,17297,0,7556867,4327,1,817,535,54,15,0,6,3,285788,186679,1,25,62185023,260308,219291,506,21,71022755,8,0,53,26,51,24,27,26,normal
3576991010,880151435,0,57732763,16681,0,8242864,4729,1,712,643,45,16,0,6,3,258180,214735,1,21,55959331,272608,200253,524,22,63681850,7,0,57,29,47,23,23,27,normal
4818221619,912301228,0,54939902,20293,0,8366300,3902,1,723,622,56,15,0,5,3,284098,208753,1,21,69506422,251765,212544,589,26,58386018,8,0,59,31,47,24,25,26,normal
19526082,907593731,0,62344763,19882,0,9978953,4863,1,791,633,48,15,0,5,3,244639,226758,1,19,61988333,228839,184116,544,22,56391246,6,0,58,27,42,23,25,21,normal
103452565,1108831845,0,55552089,17425,0,10208909,3915,1,813,578,54,15,0,5,3,292059,202132,1,19,62847138,250450,211897,556,25,62780986,7,0,56,31,54,21,22,25,normal
158638789,933751692,0,62350650,18516,0,9931638,4313,1,636,552,56,12,0,4,3,289246,227295,1,25,74522611,294889,214425,637,24,65825895,7,0,56,24,53,26,28,28,normal
296934730,1096381211,0,56205158,18216,0,8220020,3782,1,812,539,60,15,0,5,3,226959,192053,1,21,70222778,299838,198673,585,25,74470292,7,0,47,31,47,25,23,26,normal
333407136,899548814,0,54992000,20203,0,9398897,4457,1,830,529,58,12,0,5,3,299305,231396,1,24,58969839,275403,192482,582,20,62937651,7,0,54,29,41,26,26,27,normal
432861631,916163878,0,54104699,20785,0,9203059,4890,1,818,666,54,12,0,5,3,235314,214151,1,25,56653175,243030,194996,629,23,60684036,7,0,50,30,52,25,22,22,normal
651912228,1110696172,0,59597292,19664,0,8327918,3958,1,672,500,48,12,0,5,3,297584,206584,1,25,75423824,260272,179928,504,26,67644785,7,0,55,27,43,22,26,22,normal
707800559,1011204341,0,62191875,17460,0,10224846,4119,1,760,663,54,16,0,5,3,254995,222378,1,23,58566531,310563,201822,515,21,65864792,7,0,46,30,52,25,23,25,normal
750628768,1020724036,0,50052988,18406,0,9568748,4020,1,680,537,59,13,0,5,3,285868,193605,1,20,73135628,244242,215420,577,22,72108040,7,0,46,29,46,24,27,26,normal
892811701,910970829,0,62877507,17980,0,9828943,4052,1,687,563,53,14,0,5,3,253736,216345,1,20,70626051,270602,207517,634,21,64013571,6,0,46,28,43,22,27,28,normal
1049637478,896478684,0,53152049,17246,0,8253224,4915,1,688,658,54,15,0,5,3,300967,238823,1,20,71460349,305279,206238,488,23,60928351,8,0,55,24,46,25,24,28,normal
1042743550,888029803,0,60237880,20478,0,9511258,4605,1,842,493,57,14,0,5,3,270896,189521,1,24,59198540,255978,188235,647,22,73576550,7,0,56,31,55,23,24,25,normal
1111809228,858057346,0,55312157,18664,0,10174902,4683,1,702,580,57,14,0,6,3,272534,181946,1,21,74096759,284745,199836,519,22,69594835,6,0,56,26,45,26,26,23,normal
1282864144,919164437,0,61593822,17532,0,10414798,4080,1,800,523,58,14,2,5,3,267630,201201,1,20,68495707,282639,216422,520,26,64313184,8,0,52,29,55,24,27,25,normal
1378215271,908740271,0,62276395,20365,0,9580135,4888,1,704,679,49,14,0,5,3,305876,230173,1,23,66319761,270995,214305,538,21,75238257,6,0,53,30,52,24,22,29,normal
1454308894,916100344,0,62930981,18256,0,9148619,4521,1,867,671,52,12,0,6,3,257154,200451,1,19,67365012,274657,217456,601,23,63717560,8,0,57,28,44,24,28,29,normal
1524892707,1143653975,0,62195944,19156,0,10567333,4058,1,815,608,60,14,0,5,3,257322,190577,1,22,58135214,268380,235797,634,25,68524910,7,0,55,27,56,20,29,22,normal
1798768367,931386332,0,54665906,16274,0,8451750,4234,1,751,667,54,16,0,5,3,308028,204492,1,25,69038891,298378,229682,596,21,68521334,7,0,62,27,49,25,26,25,normal
1527875063,1123690318,0,59986890,16569,0,8461627,4013,1,792,602,58,12,0,5,3,259622,228663,1,19,73067547,302000,211511,594,24,58353471,6,0,61,28,49,24,23,23,normal
1580475034,1074577382,0,57631169,17947,0,10553940,4852,1,745,669,49,14,0,4,3,264231,198857,1,23,68938345,272429,243332,569,22,60699448,7,0,54,26,48,22,25,24,normal
1788966717,1038353981,0,61423883,17861,0,7977814,3662,1,666,591,49,13,0,5,3,257814,208021,1,25,68448807,251855,234597,630,22,60413455,7,0,56,26,42,26,27,22,normal
1967670702,873617192,0,62101776,20807,0,10599233,4223,1,854,531,54,15,0,5,3,268410,199047,1,24,62093879,314392,243955,591,20,65620621,8,0,57,30,43,26,23,29,normal
2054201694,1159781807,0,51972314,17460,0,10030880,4402,1,742,659,61,15,0,4,3,238819,215275,1,25,65893940,244098,231491,544,25,71152617,7,0,61,28,56,23,26,24,normal
1835674985,921173625,0,51059774,16394,0,9595770,4723,1,753,594,48,15,0,5,3,280459,218297,1,25,68870202,286088,240827,612,23,70435695,7,0,63,31,56,26,29,26,normal
2514884222,1132744506,0,54736565,17739,0,8673017,3848,1,717,677,56,13,0,5,3,243863,227087,1,24,74144101,257020,204699,654,25,68686179,7,0,59,27,55,26,29,25,normal
1955878999,1127386059,0,50859410,16197,0,10838319,4109,1,714,515,53,15,0,5,3,303913,185661,1,20,76211391,290141,224204,548,21,66735660,7,0,62,33,53,24,27,22,normal
2286643438,1159301510,0,63924276,18096,0,10111117,3922,1,667,613,51,15,0,5,3,303036,228737,1,23,66957865,279184,235248,535,25,77387677,6,0,50,28,53,21,28,26,normal
2489275077,982771847,0,51771766,19171,0,9762745,4196,1,675,583,48,14,0,5,3,296745,193209,1,24,76202032,269204,221561,625,21,70570291,7,0,61,28,51,20,24,23,normal
2876402323,949797488,0,53735081,18081,0,8112532,4600,1,719,612,49,13,0,5,3,271308,217635,1,21,67538526,275883,245573,558,26,73304229,6,0,51,30,54,22,23,29,normal
2926432204,1051800755,0,62419976,21307,0,9911690,3901,1,744,647,48,15,0,5,3,237061,236239,1,22,77882882,284884,213896,652,25,65367306,7,0,59,26,49,22,26,25,normal
2379441242,1157144678,0,65438256,17224,0,8982104,4293,1,798,608,59,12,0,6,3,234205,228766,1,25,72391054,296038,241489,558,25,61940164,6,0,57,31,47,21,29,28,normal
2687581809,881461888,0,58337593,17590,0,8666343,3791,1,836,569,47,15,0,5,3,257942,221811,1,21,66799301,247877,245994,589,22,60037974,8,0,54,30,44,24,29,24,normal
2911697433,1108802415,0,64558455,19334,0,10856130,3738,1,872,597,57,16,0,5,3,244399,213035,1,21,63390139,283178,204018,591,21,68298310,6,0,54,32,54,22,23,28,normal
2526226887,934032077,0,60130699,19049,0,10063269,4719,1,840,665,54,13,0,5,3,248104,211265,1,23,64938465,283557,225481,590,24,77709153,8,0,51,25,44,26,22,24,normal
3359921822,978136860,0,60289303,17328,0,8659622,4378,1,653,569,51,14,0,5,3,234518,245155,1,20,65478525,256975,234901,541,20,76620099,6,0,51,29,55,25,22,27,normal
3526601200,1057497239,0,55607790,21408,0,11067628,4124,1,810,653,62,13,0,5,3,238479,239759,1,22,78853126,268574,239751,517,22,63616904,8,0,57,32,52,21,29,26,normal
3545535392,1041064759,0,67545986,21779,0,9567144,4606,1,727,598,58,13,0,5,3,236401,226881,1,22,74873912,259224,224763,562,24,62921421,7,0,51,30,47,21,29,23,normal
3641911590,1120052671,0,56894663,19254,0,9757029,3921,1,741,636,54,13,0,5,3,310023,211472,1,19,77801751,254066,239699,484,20,72121763,7,0,53,28,51,24,28,27,normal
3070784928,963218832,0,65685608,19194,0,9532484,3909,1,771,558,55,13,0,6,3,300740,193581,1,22,64956818,256599,239026,551,20,61740915,8,0,50,33,53,26,28,25,normal
2997926553,913613266,0,64785308,18012,0,8607136,4218,1,672,679,62,15,0,5,3,307240,210521,1,25,69811901,287291,228216,549,22,71826171,6,0,62,31,44,26,25,26,normal
3355304073,905979879,0,56208002,18483,0,9263334,4314,1,826,588,54,12,0,4,3,293752,245514,1,22,65189464,255707,235443,643,20,64256741,7,0,50,27,54,23,28,23,normal
3178217118,964147226,0,67806863,21821,0,9614456,4356,1,865,528,51,15,0,4,3,281760,194032,1,24,61442297,262855,217616,554,26,65536356,7,0,52,25,45,23,28,29,normal
3350939006,1167780753,0,63488357,17063,0,8737926,4712,1,851,689,53,16,0,5,3,244137,217958,1,24,61030488,285258,207617,526,20,59237577,7,0,56,33,49,25,28,23,normal
3471432239,987688485,0,58183996,20368,0,9322862,4042,1,651,625,51,12,0,5,3,256097,238928,1,22,58995543,303886,213769,575,24,73999466,7,0,60,28,53,26,25,26,normal
3292120588,1009542613,0,53455242,20511,0,11143026,5017,1,803,613,63,15,0,5,3,275520,248139,1,24,69267631,276164,250500,624,22,64803471,8,0,47,31,53,21,23,26,normal
3468477030,1057342623,0,62195920,17161,0,10341122,4859,1,801,551,58,15,0,5,3,261089,189284,1,22,75965158,311638,200107,576,26,67011098,7,0,55,31,47,21,26,29,normal
4328618118,980309236,0,65395997,20792,0,9970499,3938,1,870,658,53,14,0,5,3,250524,189881,1,19,60819936,269316,211210,582,21,64842086,7,0,48,33,49,20,29,24,normal
4488020270,930127075,0,65667931,18360,0,10642805,4609,1,864,512,60,13,0,5,3,253206,244109,1,20,61850066,311129,213430,545,26,61855231,7,0,59,28,47,24,26,29,normal
3882489287,1091896122,0,54734345,18101,0,8989122,4376,1,712,525,63,15,0,5,3,251127,248975,1,25,61227903,297128,234273,574,20,69803691,6,0,56,28,54,21,25,30,normal
3626861191,918090819,0,52526744,18543,0,9987924,4514,1,728,640,50,12,0,4,3,310437,214114,1,22,67621302,276872,207638,507,25,59560780,6,0,55,27,48,25,28,28,normal
4562538035,1169508189,0,60457106,16478,0,10813414,4327,1,797,674,55,12,0,5,3,257289,248909,1,20,76297968,307475,230274,584,21,74912728,7,0,60,26,48,25,23,29,normal
4771431409,1194771122,0,55336117,17938,0,11155519,4136,1,827,603,57,14,0,5,3,244644,190399,1,25,71402653,305965,201699,631,22,66877899,6,0,52,33,49,23,23,23,normal
4870556443,1197046050,0,64554557,18274,0,9394754,5035,1,691,599,58,14,0,5,3,309854,213761,1,19,68381228,308121,245208,552,24,69898031,8,0,63,32,46,22,28,26,normal
81582141,905273431,0,59065496,21026,0,8680400,4605,1,656,626,58,12,0,5,3,302686,248225,1,24,73499752,314684,230857,651,22,74302423,8,0,61,25,47,25,29,28,normal
133896943,1152946169,0,65147905,21022,0,9677514,4760,1,710,612,58,16,0,5,3,316405,192700,1,22,63748816,284439,247279,508,22,64600848,6,0,49,32,50,25,24,27,normal
200495166,1125581070,0,55976562,21105,0,11381167,4411,1,830,645,50,16,0,6,3,296496,215784,1,22,60548056,251966,190569,642,20,71344654,8,0,50,31,53,24,24,23,normal
266340626,1158425086,0,54087516,18811,0,8885391,5100,1,877,604,56,14,0,5,3,263918,241704,1,25,60351500,266523,193878,569,24,75486246,8,0,62,26,53,25,28,29,normal
321904364,1048871250,0,63089534,17901,0,11045596,4473,1,870,610,61,14,0,5,3,237948,192087,1,22,64002475,247706,189513,526,22,63269412,7,0,50,27,57,23,24,23,normal
448762599,1141647398,0,51263042,21055,0,10432207,4957,1,903,678,60,15,0,5,3,314498,210867,1,24,63975078,249815,249955,506,25,71458019,6,0,63,34,52,21,25,25,normal
449351792,1170058929,0,57422915,21370,0,8740794,4584,1,692,586,54,16,0,4,3,285712,230697,1,24,65483812,274424,219862,548,21,65019402,6,0,49,33,48,21,27,29,normal
520286181,998053283,0,67311120,20207,0,9651119,4603,1,713,610,65,14,0,5,3,248742,195920,1,22,65618243,275371,248013,623,22,64093942,7,0,49,27,52,24,24,31,normal
606942722,1058506621,0,65926140,19643,0,10161651,4696,1,856,594,64,13,0,5,3,317700,255023,1,23,67112875,279035,193444,601,21,73361022,7,0,59,30,51,26,28,26,normal
703842723,970266179,0,60338760,19460,0,11078495,4702,1,771,574,59,15,0,5,3,313269,207541,1,22,74278385,318655,246357,556,25,72975934,6,0,55,32,51,21,24,29,normal
818682936,980111879,0,57525481,17783,0,9823282,3966,1,763,654,65,16,0,5,3,319085,232864,1,22,66984024,323704,208381,643,25,73231829,7,0,62,27,54,25,30,26,normal
776783475,1048078824,0,64058454,18157,0,9858537,4456,1,764,578,62,14,0,4,3,285371,205032,1,20,75312243,268470,190740,627,20,65994649,8,0,52,28,45,26,25,30,normal
1002259149,925955268,0,61509833,19894,0,9092643,4811,1,720,544,58,14,0,5,3,302667,193263,1,20,72064592,327726,251670,502,22,78050351,8,0,55,26,53,21,24,27,normal
1105724750,944047065,0,56808175,18525,0,8690379,5083,1,881,648,59,13,0,5,3,251543,213162,1,25,75630770,282172,226910,653,25,70159196,8,0,66,27,56,25,28,29,normal
933877232,904366269,0,65186797,17695,0,8943335,5097,1,677,660,56,13,0,6,3,259903,256940,1,19,79762244,267542,199739,650,23,74146780,6,0,51,30,48,20,27,24,normal
1088577271,1068917583,0,57709977,20799,0,9019866,4559,1,892,653,51,13,0,5,3,264519,246755,1,24,63409674,270179,236024,569,25,72521476,7,0,55,31,56,25,31,23,normal
1039844408,939208738,0,55675681,17319,0,11307683,4582,1,771,634,56,15,0,4,3,253193,235370,1,22,70571625,251251,249528,590,24,77079134,6,0,59,32,54,21,23,30,normal
1066027823,1042809547,0,62771563,21229,0,9392976,3866,1,864,652,55,16,0,6,3,322912,198470,1,21,79692910,276949,253705,609,22,74733687,7,0,59,31,57,25,25,25,normal
1111856955,1029893993,0,54231088,18960,0,10789708,4327,1,706,653,51,15,0,6,3,292468,196689,1,20,72991949,264182,211389,554,21,81043876,7,0,59,26,43,20,23,31,normal
